Name,Efficiency,Efficiency Detail,Project,Owner,Cluster
vm1,-,-,,,cluster1
vm2,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.74%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm3,-,-,_internal,admin,cluster2
vm4,-,-,_internal,admin,cluster2
vm5,-,-,_internal,admin,cluster2
vm6,-,-,_internal,admin,cluster3
vm7,-,-,_internal,admin,cluster3
vm8,Overprovisioned,Overprovisioned: Max hourly average CPU usage (5.51%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm9,-,-,_internal,admin,cluster1
vm10,-,-,_internal,admin,cluster1
vm11,Overprovisioned,Overprovisioned: Max hourly average CPU usage (7.15%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm12,Overprovisioned,Overprovisioned: Max hourly average CPU usage (48.65%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm13,-,-,_internal,admin,cluster1
vm14,Overprovisioned,Overprovisioned: Max hourly average CPU usage (12.62%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm15,-,-,_internal,admin,cluster1
vm16,-,-,_internal,admin,cluster1
vm17,-,-,_internal,admin,cluster1
vm18,-,-,_internal,admin,cluster1
vm19,Overprovisioned,Overprovisioned: Max hourly average CPU usage (2.1%) was below the minimum threshold (20%) and max hourly average memory usage (6.01%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm20,Overprovisioned,Overprovisioned: Max hourly average CPU usage (42.94%) was below the minimum threshold (50%) and max hourly average memory usage (14.98%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm21,-,-,_internal,admin,cluster1
vm22,Overprovisioned,Overprovisioned: Max hourly average CPU usage (5.02%) was below the minimum threshold (20%) and max hourly average memory usage (33.83%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm23,-,-,_internal,admin,cluster1
vm24,-,-,_internal,admin,cluster1
vm25,-,-,_internal,admin,cluster1
vm26,-,-,_internal,admin,cluster1
vm27,-,-,,,cluster1
vm28,-,-,_internal,admin,cluster1
vm29,-,-,_internal,admin,cluster1
vm30,-,-,_internal,admin,cluster1
vm31,-,-,_internal,admin,cluster1
vm32,-,-,_internal,admin,cluster1
vm33,-,-,_internal,admin,cluster1
vm34,-,-,_internal,admin,cluster1
vm35,-,-,_internal,admin,cluster1
